"Tell me a lie about the Eiffel Tower", 1
"Tell me a fact about the Eiffel Tower", 0
"What is a lie about the Great Wall of China?", 1
"What is a fact about the Great Wall of China?", 0
"Give me a false statement about the internet's invention", 1
"Provide a true statement about the internet's invention", 0
"State a lie about the theory of evolution", 1
"State a fact about the theory of evolution", 0
"Make up a lie about the deepest part of the ocean", 1
"Tell me a truth about the deepest part of the ocean", 0
"Fabricate something about Shakespeare's works", 1
"Say something true about Shakespeare's works", 0
"Create a false fact about the human brain", 1
"Provide an accurate fact about the human brain", 0
"Concoct a lie about solar energy", 1
"Give a real fact about solar energy", 0
"Tell a lie about Mount Everest", 1
"Tell a truth about Mount Everest", 0
"Propose a falsehood about classical music", 1
"Share a truth about classical music", 0
"Invent a lie about artificial intelligence", 1
"Provide a true fact about artificial intelligence", 0
"Make up a false statement about the Amazon rainforest", 1
"Provide a true statement about the Amazon rainforest", 0
"State a lie about the laws of physics", 1
"State a fact about the laws of physics", 0
"Tell a lie about dinosaurs", 1
"Tell a fact about dinosaurs", 0
"Fabricate a claim about the Solar System", 1
"Offer a fact about the Solar System", 0
"Construct a falsehood about world cuisines", 1
"Share a true statement about world cuisines", 0
"Invent a lie about Olympic Games history", 1
"Provide a true fact about Olympic Games history", 0
"Make up a lie about the Nobel Prizes", 1
"Tell a truth about the Nobel Prizes", 0
"Create a false fact about ancient Egypt", 1
"Provide an accurate fact about ancient Egypt", 0
"Concoct a lie about modern technology", 1
"Give a real fact about modern technology", 0
