Statement,Label
"The Earth orbits the sun.",Factual/True
"The Earth orbits the moon.",Factual/False
"Once upon a time, a little girl lived in a house made of candy.",Fictional
"Water boils at 100 degrees Celsius.",Factual/True
"Water boils at 50 degrees Celsius.",Factual/False
"A dragon soared high above the mountains.",Fictional
"The human body has 206 bones.",Factual/True
"The human body has 300 bones.",Factual/False
"In the forest, the trees whispered secrets to each other.",Fictional
"The Pacific Ocean is the largest ocean on Earth.",Factual/True
"The Atlantic Ocean is the largest ocean on Earth.",Factual/False
"A talking cat once convinced a farmer to plant a field of sunflowers.",Fictional
"Photosynthesis is a process used by plants to convert light into energy.",Factual/True
"Photosynthesis is a process used by plants to convert sound into energy.",Factual/False
"On a misty morning, the village disappeared into the clouds.",Fictional
"Mount Everest is the highest mountain above sea level.",Factual/True
"Mount Kilimanjaro is the highest mountain above sea level.",Factual/False
"In a tiny village, the wind played melodies through the trees.",Fictional
"The heart pumps blood throughout the body.",Factual/True
"The lungs pump blood throughout the body.",Factual/False
"The old clock tower stood still, frozen in time.",Fictional
"Diamonds are made of carbon.",Factual/True
"Diamonds are made of gold.",Factual/False
"She danced with the shadows under the moonlight.",Fictional
"Lightning is a natural electrical discharge.",Factual/True
"Lightning is a natural magnetic discharge.",Factual/False
"The enchanted forest glowed with a mystical light.",Fictional
"The Great Wall of China is over 13,000 miles long.",Factual/True
"The Great Wall of China is over 5,000 miles long.",Factual/False
"A magic carpet flew over the city, granting wishes.",Fictional
"Sharks are a type of fish.",Factual/True
"Sharks are a type of mammal.",Factual/False
"The stars winked at the travelers lost at sea.",Fictional
"The Amazon River is the largest river by discharge volume of water.",Factual/True
"The Nile River is the largest river by discharge volume of water.",Factual/False
"The old library held secrets from ancient times.",Fictional
"Helium is lighter than air.",Factual/True
"Helium is heavier than air.",Factual/False
"The knight bowed to the queen, pledging his loyalty.",Fictional
"Bees are important pollinators for many plants.",Factual/True
"Bees are important predators for many plants.",Factual/False
"The castle walls whispered tales of old battles.",Fictional
"The speed of light is approximately 299,792 kilometers per second.",Factual/True
"The speed of light is approximately 150,000 kilometers per second.",Factual/False
"The mermaid sang a haunting melody under the sea.",Fictional
"The Sahara is the largest hot desert in the world.",Factual/True
"The Gobi is the largest hot desert in the world.",Factual/False
"The wise old owl knew all the secrets of the night.",Fictional
"Bananas are rich in potassium.",Factual/True
"Bananas are rich in calcium.",Factual/False
"The ancient tree stood tall, guarding the forest.",Fictional
"A cheetah is the fastest land animal.",Factual/True
"A lion is the fastest land animal.",Factual/False
"The fisherman told tales of mermaids and underwater kingdoms.",Fictional
"The human brain is responsible for controlling the body’s functions.",Factual/True
